"","Tipo","Causa","Nivel","Autonomia","Provincia","Poblacion","Carretera","PKinicial","PKfinal","Sentido","Hacia","Inicio"
"1"," METEOROLOGICA ","NIEVE","ROJO","ANDALUCIA","ALMERIA","AULAGO","AL-4404","20","28","Ambos sentidos","Ambos"," 2015-02-17 08:58 "
"2"," METEOROLOGICA ","NIEVE","ROJO","ANDALUCIA","ALMERIA","ESCULLAR","AL-5405","20","28","Ambos sentidos","Ambos"," 2015-02-17 08:45 "
"3"," METEOROLOGICA ","NIEBLA","AMARILLO","ANDALUCIA","CADIZ","TARIFA","N-340","88","96","Ambos sentidos","Ambos"," 2015-02-21 16:11 "
"8"," METEOROLOGICA ","NIEBLA","AMARILLO","ANDALUCIA","GRANADA","GÃÂÃÂEJAR SIERRA","A-395","31","25","Ambos sentidos","Ambos"," 2015-02-21 12:56 "
"57"," CONO ","SOLO DOS CARRILES","VERDE","ANDALUCIA","GRANADA","IZBOR","A-44","171","170.9","CRECIENTE DE LA KILOMETRICA","MOTRIL"," 2014-11-07 14:39 "
"58"," CONO ","DESVÃÂÃÂO OPERATIVO","VERDE","ANDALUCIA","JAEN","TORREPEROGIL","N-322","165","165","AMBOS SENTIDOS",NA," 2013-12-07 14:08 "
"61"," OBRAS ","REASFALTADO","ROJO","ANDALUCIA","ALMERIA","CANTORIA","AL-7102","3.5","6","AMBOS SENTIDOS",NA," 2013-05-21 00:00 "
"62"," OBRAS ","OBRAS EN GENERAL","ROJO","ANDALUCIA","ALMERIA","HUERCAL DE ALMERIA","N-340A","448.8","448.6","AMBOS SENTIDOS",NA," 2014-09-04 07:31 "
"63"," OBRAS ","OBRAS EN GENERAL","NEGRO","ANDALUCIA","ALMERIA","NIJAR","AL-3106","2.4","3.7","AMBOS SENTIDOS",NA," 2014-12-18 12:33 "
"64"," OBRAS ","OBRAS EN GENERAL","ROJO","ANDALUCIA","ALMERIA","RIOJA","N-340A","459.1","463.6","AMBOS SENTIDOS",NA," 2014-01-15 09:53 "
"162"," OBRAS ","TRABAJOS DE MANTENIMIENTO","VERDE","ANDALUCIA","CADIZ","ALCALA DE LOS GAZULES","A-381","41.5","42.5","CRECIENTE DE LA KILOMETRICA","LOS BARRIOS"," 2014-11-25 09:51 "
"163"," OBRAS ","MANTENIMIENTO DE PUENTES","AMARILLO","ANDALUCIA","CADIZ","CADIZ","N-443","5.7","4.1","DECRECIENTE DE LA KILOMETRICA","PUERTO REAL"," 2014-11-25 09:24 "
"164"," OBRAS ","TRABAJOS DE MANTENIMIENTO","ROJO","ANDALUCIA","CADIZ","CADIZ","CA-33","12.6","12.6","AMBOS SENTIDOS",NA," 2015-01-25 13:27 "
"165"," OBRAS ","OBRAS EN GENERAL","VERDE","ANDALUCIA","CADIZ","JEREZ DE LA FRONTERA","AP-4","70.5","70.5","CRECIENTE DE LA KILOMETRICA","CADIZ"," 2014-11-26 09:05 "
"166"," OBRAS ","OBRAS EN GENERAL","VERDE","ANDALUCIA","CADIZ","JEREZ DE LA FRONTERA","AP-4","68.6","67.8","DECRECIENTE DE LA KILOMETRICA",NA," 2015-01-16 08:47 "
"167"," OBRAS ","OBRAS EN GENERAL","VERDE","ANDALUCIA","CADIZ","MEDINA-SIDONIA","A-381","17","24","AMBOS SENTIDOS",NA," 2014-11-26 08:35 "
"168"," OBRAS ","OBRAS EN GENERAL","VERDE","ANDALUCIA","CADIZ","MEDINA-SIDONIA","A-396","10","12","AMBOS SENTIDOS",NA," 2014-11-26 08:57 "
"173"," OBRAS ","OBRAS EN GENERAL","NEGRO","ANDALUCIA","CORDOBA","AGUILAR DE LA FRONTERA","CO-5211","0","11","AMBOS SENTIDOS",NA," 2015-02-05 14:29 "
"174"," OBRAS ","TRABAJOS DE MANTENIMIENTO","NEGRO","ANDALUCIA","CORDOBA","ALMODOVAR DEL RIO","CO-3313","1.5","2.5","AMBOS SENTIDOS",NA," 2015-01-09 12:30 "
"175"," OBRAS ","OBRAS EN GENERAL","NEGRO","ANDALUCIA","CORDOBA","CANSINOS (LOS)","CO-3204","1.8","22.4","AMBOS SENTIDOS",NA," 2015-01-07 07:51 "
"176"," OBRAS ","REASFALTADO","NEGRO","ANDALUCIA","CORDOBA","CAÃÂÃÂUELO (EL)","CO-7204","1.4","4.3","AMBOS SENTIDOS",NA," 2015-02-17 11:50 "
"177"," OBRAS ","OBRAS EN GENERAL","AMARILLO","ANDALUCIA","CORDOBA","CASTRO DEL RIO","A-3127","11","11","CRECIENTE DE LA KILOMETRICA","CAÃÂÃÂETE DE LAS TORRES"," 2014-09-11 15:54 "
"178"," OBRAS ","OBRAS EN GENERAL","AMARILLO","ANDALUCIA","CORDOBA","CORDOBA","A-4","407.5","403.6","AMBOS SENTIDOS",NA," 2015-01-22 04:59 "
"179"," OBRAS ","OBRAS EN GENERAL","AMARILLO","ANDALUCIA","CORDOBA","CORDOBA","N-432","275.5","276.5","AMBOS SENTIDOS",NA," 2014-11-05 08:17 "
"180"," OBRAS ","OBRAS EN GENERAL","VERDE","ANDALUCIA","CORDOBA","CORDOBA","A-4","416.7","416.2","DECRECIENTE DE LA KILOMETRICA","SEVILLA"," 2014-11-25 10:27 "
"204"," OBRAS ","GRANDES OBRAS","NEGRO","ANDALUCIA","GRANADA","GUADAHORTUNA","A-323","0","8","AMBOS SENTIDOS","A-308-GUADAHOLTUNA"," 2009-04-13 09:00 "
"205"," OBRAS ","OBRAS EN GENERAL","ROJO","ANDALUCIA","GRANADA","ZUBIA (LA)","GR-3211","0","0","AMBOS SENTIDOS",NA," 2015-01-30 12:14 "
"217"," OBRAS ","OBRAS EN GENERAL","VERDE","ANDALUCIA","HUELVA","ALJARAQUE","A-497","3.3","4.9","CRECIENTE DE LA KILOMETRICA","PUNTA UMBRÃÂÃÂA"," 2014-11-26 10:42 "
"218"," OBRAS ","TRABAJOS DE MANTENIMIENTO","VERDE","ANDALUCIA","HUELVA","BOLLULLOS PAR DEL CONDADO","A-49","43.6","41.5","DECRECIENTE DE LA KILOMETRICA","SEVILLA"," 2015-01-26 11:34 "
"219"," OBRAS ","OBRAS EN GENERAL","VERDE","ANDALUCIA","HUELVA","HUELVA","H-31","81.8","84","CRECIENTE DE LA KILOMETRICA",NA," 2014-11-26 08:47 "
"220"," OBRAS ","OBRAS EN GENERAL","VERDE","ANDALUCIA","HUELVA","HUELVA","A-497","1.5","2.5","CRECIENTE DE LA KILOMETRICA","PUNTA UMBRÃÂÃÂA"," 2014-11-25 10:34 "
"221"," OBRAS ","TRABAJOS DE MANTENIMIENTO","VERDE","ANDALUCIA","HUELVA","PUNTA UMBRIA","A-497","16.5","15","DECRECIENTE DE LA KILOMETRICA","HUELVA"," 2014-11-25 10:01 "
"222"," OBRAS ","OBRAS EN GENERAL","VERDE","ANDALUCIA","HUELVA","PUNTA UMBRIA","A-497","16.2","14","DECRECIENTE DE LA KILOMETRICA","HUELVA"," 2014-11-26 09:56 "
"229"," OBRAS ","REASFALTADO","VERDE","ANDALUCIA","JAEN","IBROS","A-6101","4.5","4.5","AMBOS SENTIDOS",NA," 2013-05-14 08:57 "
"230"," OBRAS ","REASFALTADO","NEGRO","ANDALUCIA","JAEN","VENTAS DEL CARRIZAL","JA-4306","0","5.8","AMBOS SENTIDOS",NA," 2015-02-20 20:14 "
"264"," OBRAS ","TRABAJOS DE MANTENIMIENTO","VERDE","ANDALUCIA","MALAGA","BENAHAVIS","A-7175","5.2","5.5","CRECIENTE DE LA KILOMETRICA","BENAHAVIS"," 2015-01-26 08:41 "
"265"," OBRAS ","OBRAS EN GENERAL","VERDE","ANDALUCIA","MALAGA","CAMPILLOS","A-384","109","105","AMBOS SENTIDOS",NA," 2014-11-26 09:35 "
"266"," OBRAS ","REASFALTADO","VERDE","ANDALUCIA","MALAGA","CARTAMA","MA-3304","2.5","4.5","AMBOS SENTIDOS",NA," 2014-11-26 09:05 "
"267"," OBRAS ","OBRAS EN GENERAL","VERDE","ANDALUCIA","MALAGA","CARTAMA","A-7054","15","17","AMBOS SENTIDOS",NA," 2014-11-25 07:43 "
"268"," OBRAS ","OBRAS EN GENERAL","VERDE","ANDALUCIA","MALAGA","MIJAS","A-7053","12","13","AMBOS SENTIDOS",NA," 2014-11-26 09:15 "
"269"," OBRAS ","SEÃÂÃÂALIZACION DE LA CALZADA","VERDE","ANDALUCIA","MALAGA","PIZARRA","A-343","44","45","AMBOS SENTIDOS",NA," 2014-11-26 09:11 "
"270"," OBRAS ","OBRAS EN GENERAL","NEGRO","ANDALUCIA","MALAGA","RONDA","A-2300","17","17","AMBOS SENTIDOS",NA," 2014-02-10 00:00 "
"271"," OBRAS ","OBRAS EN GENERAL","VERDE","ANDALUCIA","MALAGA","TOLOX","A-366","44","45","AMBOS SENTIDOS",NA," 2014-11-26 09:08 "
"296"," OBRAS ","TRABAJOS DE MANTENIMIENTO","VERDE","ANDALUCIA","SEVILLA","ALCALA DE GUADAIRA","SE-40","5.5","6.5","CRECIENTE DE LA KILOMETRICA","A-376"," 2015-01-26 09:35 "
"297"," OBRAS ","OBRAS EN GENERAL","VERDE","ANDALUCIA","SEVILLA","ALCALA DE GUADAIRA","A-92","12.5","11.5","DECRECIENTE DE LA KILOMETRICA","SEVILLA"," 2014-11-26 11:42 "
"298"," OBRAS ","TRABAJOS DE MANTENIMIENTO","VERDE","ANDALUCIA","SEVILLA","ALCALA DE GUADAIRA","A-92","17.8","14.5","DECRECIENTE DE LA KILOMETRICA","SEVILLA"," 2014-11-25 09:31 "
"299"," OBRAS ","REASFALTADO","VERDE","ANDALUCIA","SEVILLA","CABEZAS DE SAN JUAN (LAS)","AP-4","49.1","48.8","DECRECIENTE DE LA KILOMETRICA","SEVILLA"," 2014-11-26 11:21 "
"300"," OBRAS ","TRABAJOS DE MANTENIMIENTO","VERDE","ANDALUCIA","SEVILLA","CABEZAS DE SAN JUAN (LAS)","AP-4","49.8","46.8","DECRECIENTE DE LA KILOMETRICA",NA," 2015-01-16 09:10 "
"301"," OBRAS ","OBRAS EN GENERAL","VERDE","ANDALUCIA","SEVILLA","CABEZAS DE SAN JUAN (LAS)","AP-4","43","43","DECRECIENTE DE LA KILOMETRICA","SEVILLA"," 2014-11-26 11:55 "
"302"," OBRAS ","TRABAJOS DE MANTENIMIENTO","VERDE","ANDALUCIA","SEVILLA","CARMONA","A-92","28.1","32.3","CRECIENTE DE LA KILOMETRICA","ALMERÃÂÃÂA"," 2014-11-26 09:10 "
"303"," OBRAS ","REASFALTADO","NEGRO","ANDALUCIA","SEVILLA","CARMONA","A-8100","2.2","14.9","AMBOS SENTIDOS","CARMONA/UTRERA"," 2011-06-16 07:33 "
"304"," OBRAS ","TRABAJOS DE MANTENIMIENTO","VERDE","ANDALUCIA","SEVILLA","CARMONA","A-4","510","510","CRECIENTE DE LA KILOMETRICA","SEVILLA"," 2014-11-26 11:38 "
"305"," OBRAS ","OBRAS EN GENERAL","VERDE","ANDALUCIA","SEVILLA","PALACIOS Y VILLAFRANCA (LOS)","AP-4","24","23.4","DECRECIENTE DE LA KILOMETRICA","SEVILLA"," 2014-11-26 09:29 "
"306"," OBRAS ","OBRAS EN GENERAL","NEGRO","ANDALUCIA","SEVILLA","PARADAS","SE-5200","0","9.6","AMBOS SENTIDOS",NA," 2015-02-13 08:12 "
"307"," OBRAS ","TRABAJOS DE MANTENIMIENTO","VERDE","ANDALUCIA","SEVILLA","PARADAS","A-92","41.9","41.9","CRECIENTE DE LA KILOMETRICA","ALMERÃÂÃÂA"," 2014-11-26 08:29 "
"308"," OBRAS ","OBRAS EN GENERAL","VERDE","ANDALUCIA","SEVILLA","PARADAS","A-92","42.5","42.5","DECRECIENTE DE LA KILOMETRICA","SEVILLA"," 2014-11-26 09:08 "
"309"," OBRAS ","OBRAS EN GENERAL","VERDE","ANDALUCIA","SEVILLA","SALTERAS","A-66","801.3","800.7","DECRECIENTE DE LA KILOMETRICA","SERÃÂÃÂN"," 2014-11-25 09:29 "
"310"," OBRAS ","SEÃÂÃÂALIZACION DE LA CALZADA","VERDE","ANDALUCIA","SEVILLA","SEVILLA","A-4","533.5","534.5","CRECIENTE DE LA KILOMETRICA","SEVILLA"," 2014-11-25 11:00 "
